knowledge_card_id,category,title,content,keywords,related_entity_type,related_entity_id,schema_version,origin,is_synthetic,source_ids,generated_at,confidence,claim_level,verification_status,last_verified_at,license_scope,is_market_fact,data_split
KC-SKILL-001-L1,skill_level,Python编程等级1,Python编程属于编程与计算基础。等级1要求学习者理解基础概念并在指导下完成任务。评估应引用近期课程、项目、测评或工作样例。,Python编程|编程与计算基础|能力等级|证据,skill,SKILL-001,1.2.0,derived,true,SRC-ONET|SRC-ESCO|SRC-SYNTH,2026-09-13T00:00:00+08:00,0.9,primary_derived,derived,,cc_by_4_0_attribution,false,dev
KC-SKILL-005-L2,skill_level,计算机网络等级2,计算机网络属于编程与计算基础。等级2要求学习者理解基础概念并在指导下完成任务。评估应引用近期课程、项目、测评或工作样例。,计算机网络|编程与计算基础|能力等级|证据,skill,SKILL-005,1.2.0,derived,true,SRC-ONET|SRC-ESCO|SRC-SYNTH,2026-09-13T00:00:00+08:00,0.9,primary_derived,derived,,cc_by_4_0_attribution,false,dev
KC-SKILL-008-L3,skill_level,测试与调试等级3,测试与调试属于编程与计算基础。等级3要求学习者独立完成常见任务、解释方法并处理异常。评估应引用近期课程、项目、测评或工作样例。,测试与调试|编程与计算基础|能力等级|证据,skill,SKILL-008,1.2.0,derived,true,SRC-ONET|SRC-ESCO|SRC-SYNTH,2026-09-13T00:00:00+08:00,0.9,primary_derived,derived,,cc_by_4_0_attribution,false,dev
KC-SKILL-012-L4,skill_level,探索性数据分析等级4,探索性数据分析属于数据处理与分析。等级4要求学习者独立完成常见任务、解释方法并处理异常。评估应引用近期课程、项目、测评或工作样例。,探索性数据分析|数据处理与分析|能力等级|证据,skill,SKILL-012,1.2.0,derived,true,SRC-ONET|SRC-ESCO|SRC-SYNTH,2026-09-13T00:00:00+08:00,0.9,primary_derived,derived,,cc_by_4_0_attribution,false,dev
KC-SKILL-015-L5,skill_level,数据建模等级5,数据建模属于数据处理与分析。等级5要求学习者设计复杂方案、评估风险并指导他人。评估应引用近期课程、项目、测评或工作样例。,数据建模|数据处理与分析|能力等级|证据,skill,SKILL-015,1.2.0,derived,true,SRC-ONET|SRC-ESCO|SRC-SYNTH,2026-09-13T00:00:00+08:00,0.9,primary_derived,derived,,cc_by_4_0_attribution,false,dev
KC-SKILL-020-L1,skill_level,特征工程等级1,特征工程属于机器学习与算法。等级1要求学习者理解基础概念并在指导下完成任务。评估应引用近期课程、项目、测评或工作样例。,特征工程|机器学习与算法|能力等级|证据,skill,SKILL-020,1.2.0,derived,true,SRC-ONET|SRC-ESCO|SRC-SYNTH,2026-09-13T00:00:00+08:00,0.9,primary_derived,derived,,cc_by_4_0_attribution,false,dev
KC-SKILL-023-L2,skill_level,自然语言处理等级2,自然语言处理属于机器学习与算法。等级2要求学习者理解基础概念并在指导下完成任务。评估应引用近期课程、项目、测评或工作样例。,自然语言处理|机器学习与算法|能力等级|证据,skill,SKILL-023,1.2.0,derived,true,SRC-ONET|SRC-ESCO|SRC-SYNTH,2026-09-13T00:00:00+08:00,0.9,primary_derived,derived,,cc_by_4_0_attribution,false,dev
KC-SKILL-027-L3,skill_level,RAG应用等级3,RAG应用属于大模型与AI应用。等级3要求学习者独立完成常见任务、解释方法并处理异常。评估应引用近期课程、项目、测评或工作样例。,RAG应用|大模型与AI应用|能力等级|证据,skill,SKILL-027,1.2.0,derived,true,SRC-ONET|SRC-ESCO|SRC-SYNTH,2026-09-13T00:00:00+08:00,0.9,primary_derived,derived,,cc_by_4_0_attribution,false,dev
KC-SKILL-030-L4,skill_level,MCP与工具调用等级4,MCP与工具调用属于大模型与AI应用。等级4要求学习者独立完成常见任务、解释方法并处理异常。评估应引用近期课程、项目、测评或工作样例。,MCP与工具调用|大模型与AI应用|能力等级|证据,skill,SKILL-030,1.2.0,derived,true,SRC-ONET|SRC-ESCO|SRC-SYNTH,2026-09-13T00:00:00+08:00,0.9,primary_derived,derived,,cc_by_4_0_attribution,false,dev
KC-SKILL-034-L5,skill_level,API设计等级5,API设计属于工程部署与工具。等级5要求学习者设计复杂方案、评估风险并指导他人。评估应引用近期课程、项目、测评或工作样例。,API设计|工程部署与工具|能力等级|证据,skill,SKILL-034,1.2.0,derived,true,SRC-ONET|SRC-ESCO|SRC-SYNTH,2026-09-13T00:00:00+08:00,0.9,primary_derived,derived,,cc_by_4_0_attribution,false,dev
