case_id,query,期望文档,期望等级,期望卡片ID,检索_Top1文档,检索_Top1匹配度,检索_Top5期望项最高排名,检索_Top5同源条数,检索_命中@1,检索_命中@5,答案_引用等级是否正确,答案_引用ID是否命中期望,答案_Top1可回答性,备注
RETR-001,如何判断Python编程等级1，需要哪些证据？,SKILL-001_Python编程.md,L1,KC-SKILL-001-L1,SKILL-001_Python编程,0.84,1,1,1,1,,,,第二层：去模板版
RETR-002,如何判断测试与调试等级3，需要哪些证据？,SKILL-008_测试与调试.md,L3,KC-SKILL-008-L3,SKILL-008_测试与调试,0.84,1,1,1,1,,,,第二层：去模板版
RETR-003,如何判断数据建模等级5，需要哪些证据？,SKILL-015_数据建模.md,L5,KC-SKILL-015-L5,SKILL-015_数据建模,0.8,1,3,1,1,,,,第二层：去模板版
RETR-004,如何判断自然语言处理等级2，需要哪些证据？,SKILL-023_自然语言处理.md,L2,KC-SKILL-023-L2,SKILL-023_自然语言处理,0.88,1,1,1,1,,,,第二层：去模板版
RETR-005,如何判断MCP与工具调用等级4，需要哪些证据？,SKILL-030_MCP与工具调用.md,L4,KC-SKILL-030-L4,SKILL-030_MCP与工具调用,0.88,1,1,1,1,,,,第二层：去模板版
RETR-006,如何判断云端部署等级1，需要哪些证据？,SKILL-038_云端部署.md,L1,KC-SKILL-038-L1,SKILL-038_云端部署,0.86,1,1,1,1,,,,第二层：去模板版
RETR-007,如何判断指标设计等级3，需要哪些证据？,SKILL-045_指标设计.md,L3,KC-SKILL-045-L3,SKILL-015_数据建模,0.71,未命中,0,0,0,,,,第二层：去模板版
RETR-008,如何判断团队协作等级5，需要哪些证据？,SKILL-052_团队协作.md,L5,KC-SKILL-052-L5,SKILL-033_Git版本控制,0.68,未命中,0,0,0,,,,第二层：去模板版
RETR-009,如何判断职业探索等级2，需要哪些证据？,SKILL-060_职业探索.md,L2,KC-SKILL-060-L2,SKILL-012_探索性数据分析,0.77,未命中,0,0,0,,,,第二层：去模板版
RETR-034,如何判断计算机网络等级2，需要哪些证据？,SKILL-005_计算机网络.md,L2,KC-SKILL-005-L2,SKILL-005_计算机网络,0.9,1,1,1,1,,,,第二层：去模板版
RETR-035,如何判断探索性数据分析等级4，需要哪些证据？,SKILL-012_探索性数据分析.md,L4,KC-SKILL-012-L4,SKILL-012_探索性数据分析,0.9,1,3,1,1,,,,第二层：去模板版
RETR-036,如何判断特征工程等级1，需要哪些证据？,SKILL-020_特征工程.md,L1,KC-SKILL-020-L1,SKILL-020_特征工程,0.83,1,3,1,1,,,,第二层：去模板版
RETR-037,如何判断RAG应用等级3，需要哪些证据？,SKILL-027_RAG应用.md,L3,KC-SKILL-027-L3,SKILL-027_RAG应用,0.81,1,1,1,1,,,,第二层：去模板版
RETR-038,如何判断API设计等级5，需要哪些证据？,SKILL-034_API设计.md,L5,KC-SKILL-034-L5,SKILL-034_API设计,0.82,1,1,1,1,,,,第二层：去模板版
RETR-039,如何判断系统思维等级2，需要哪些证据？,SKILL-042_系统思维.md,L2,KC-SKILL-042-L2,SKILL-004_计算机系统基础,0.79,未命中,0,0,0,,,,第二层：去模板版
RETR-040,如何判断表达与汇报等级4，需要哪些证据？,SKILL-049_表达与汇报.md,L4,KC-SKILL-049-L4,SKILL-013_数据可视化,0.7,未命中,0,0,0,,,,第二层：去模板版
RETR-041,如何判断项目规划等级1，需要哪些证据？,SKILL-057_项目规划.md,L1,KC-SKILL-057-L1,SKILL-029_智能体开发,0.69,未命中,0,0,0,,,,第二层：去模板版
RETR-066,如何判断数据结构与算法等级1，需要哪些证据？,SKILL-002_数据结构与算法.md,L1,KC-SKILL-002-L1,SKILL-002_数据结构与算法,0.87,1,1,1,1,,,,第二层：去模板版
RETR-067,如何判断SQL等级3，需要哪些证据？,SKILL-009_SQL.md,L3,KC-SKILL-009-L3,SKILL-009_SQL,0.8,1,1,1,1,,,,第二层：去模板版
RETR-068,如何判断实验与A/B测试等级5，需要哪些证据？,SKILL-016_实验与A/B测试.md,L5,KC-SKILL-016-L5,SKILL-016_实验与AB测试,0.89,1,3,1,1,,,,第二层：去模板版
RETR-069,如何判断模型调优等级2，需要哪些证据？,SKILL-024_模型调优.md,L2,KC-SKILL-024-L2,SKILL-024_模型调优,0.87,1,1,1,1,,,,第二层：去模板版
RETR-070,如何判断模型微调等级4，需要哪些证据？,SKILL-031_模型微调.md,L4,KC-SKILL-031-L4,SKILL-031_模型微调,0.84,1,1,1,1,,,,第二层：去模板版
RETR-071,如何判断监控与可观测性等级1，需要哪些证据？,SKILL-039_监控与可观测性.md,L1,KC-SKILL-039-L1,SKILL-039_监控与可观测性,0.9,1,1,1,1,,,,第二层：去模板版
RETR-072,如何判断业务理解等级3，需要哪些证据？,SKILL-046_业务理解.md,L3,KC-SKILL-046-L3,SKILL-016_实验与AB测试,0.7,未命中,0,0,0,,,,第二层：去模板版
RETR-073,如何判断时间管理等级5，需要哪些证据？,SKILL-053_时间管理.md,L5,KC-SKILL-053-L5,SKILL-028_向量数据库,0.7,未命中,0,0,0,,,,第二层：去模板版
RETR-099,如何判断Linux使用等级2，需要哪些证据？,SKILL-006_Linux使用.md,L2,KC-SKILL-006-L2,SKILL-006_Linux使用,0.82,1,1,1,1,,,,第二层：去模板版
RETR-100,如何判断数据可视化等级4，需要哪些证据？,SKILL-013_数据可视化.md,L4,KC-SKILL-013-L4,SKILL-013_数据可视化,0.87,1,3,1,1,,,,第二层：去模板版
RETR-101,如何判断模型评估等级1，需要哪些证据？,SKILL-021_模型评估.md,L1,KC-SKILL-021-L1,SKILL-021_模型评估,0.74,1,1,1,1,,,,第二层：去模板版
RETR-102,如何判断向量数据库等级3，需要哪些证据？,SKILL-028_向量数据库.md,L3,KC-SKILL-028-L3,SKILL-028_向量数据库,0.9,1,1,1,1,,,,第二层：去模板版
RETR-103,如何判断后端服务开发等级5，需要哪些证据？,SKILL-035_后端服务开发.md,L5,KC-SKILL-035-L5,SKILL-035_后端服务开发,0.88,1,1,1,1,,,,第二层：去模板版
RETR-104,如何判断需求分析等级2，需要哪些证据？,SKILL-043_需求分析.md,L2,KC-SKILL-043-L2,SKILL-012_探索性数据分析,0.71,未命中,0,0,0,,,,第二层：去模板版
RETR-105,如何判断跨岗位沟通等级4，需要哪些证据？,SKILL-050_跨岗位沟通.md,L4,KC-SKILL-050-L4,SKILL-021_模型评估,0.56,未命中,0,0,0,,,,第二层：去模板版
RETR-106,如何判断项目交付等级1，需要哪些证据？,SKILL-058_项目交付.md,L1,KC-SKILL-058-L1,SKILL-021_模型评估,0.56,未命中,0,0,0,,,,第二层：去模板版
RETR-131,如何判断面向对象设计等级1，需要哪些证据？,SKILL-003_面向对象设计.md,L1,KC-SKILL-003-L1,SKILL-003_面向对象设计,0.89,1,1,1,1,,,,第二层：去模板版
