case_id,query,期望,尝试次数,答案来源,答案首次提及等级,答案提及等级列表,等级精确,答案含KC卡ID,答案含技能ID,证据含期望KC卡ID,证据含期望技能文档,Top1可回答性,Top1相似度,Top1说明,调用数,调用明细,答案摘录
RETR-001,如何判断Python编程等级1，需要哪些证据？,SKILL-001 L1,1,ws,1,"1,1,1,1,1,2,3,4,5,1,2,1,2",是,否,是,是,是,3,0.837,Top1=期望技能整篇(等级标准+证据要求),2,技能知识库[Python编程等级1判断标准证据]n=5top=0.837 ; 学习资源库[Python编程课程项目测评]n=5top=0.855,让我从知识库中为您检索相关信息。以下是基于知识库检索结果的详细回答： --- # 如何判断 Python编程等级1？需要哪些证据？ ## 一、技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-001 | | **所属领域** | 编程与计算基础 | | **技能定义** | Python语法、标准库及常用工程实践 | | **能力评分区间** | 0–100 分 | --- ##
RETR-002,如何判断测试与调试等级3，需要哪些证据？,SKILL-008 L3,1,ws,3,"3,3,3,1,1,3,3,1,1,2,3,4,5,3,4,3,4",是,否,是,是,是,3,0.8128,Top1=期望技能整篇(等级标准+证据要求),2,技能知识库[测试与调试等级3判断标准证据]n=5top=0.813 ; 学习资源库[测试与调试课程项目测评]n=5top=0.860,让我从知识库中为您检索相关信息。以下是基于知识库检索结果的详细回答： --- # 如何判断测试与调试等级3？需要哪些证据？ ## 一、技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-008 | | **所属领域** | 编程与计算基础 | | **技能定义** | **定位缺陷并设计单元、集成和回归测试** | | **能力评分区间** | 0–100 分 | --- ## 二
RETR-003,如何判断数据建模等级5，需要哪些证据？,SKILL-015 L5,1,ws,5,"5,5,5,1,3,5,5,4,5,4,5,1,5,5,5,5,5,5,1,2,3,4,5,5,5,5",是,否,是,是,是,3,0.7953,Top1=期望技能整篇(等级标准+证据要求),3,技能知识库[数据建模等级5判断标准证据]n=5top=0.795 ; 学习资源库[数据建模课程项目测评]n=5top=0.859 ; 技能知识库[数据建模 SKILL-015 设计指标口径事实表维度关系]n=5top=0.902,让我从知识库中为您检索相关信息。以下是基于知识库检索结果的详细回答： --- # 如何判断数据建模等级5？需要哪些证据？ ## 一、技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-015 | | **所属领域** | 数据处理与分析 | | **技能定义** | **设计指标口径、事实表和维度关系** | | **能力评分区间** | 0–100 分 | > ⚠️ 请注意：本次
RETR-004,如何判断自然语言处理等级2，需要哪些证据？,SKILL-023 L2,1,ws,2,"2,2,2,2,1,2,1,2,1,2,3,2,1,2,3,4,5,2,2,2",是,否,是,是,是,3,0.8584,Top1=期望技能整篇(等级标准+证据要求),2,技能知识库[自然语言处理等级2判断标准证据]n=5top=0.858 ; 学习资源库[自然语言处理课程项目测评]n=5top=0.883,以下是基于知识库检索结果的详细回答： --- # 如何判断自然语言处理等级2？需要哪些证据？ ## 一、技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-023 | | **所属领域** | 机器学习与算法 | | **技能定义** | **处理文本表示、分类、生成和信息抽取任务** | | **能力评分区间** | 0–100 分 | --- ## 二、等级2 的判断标准 知识
RETR-005,如何判断MCP与工具调用等级4，需要哪些证据？,SKILL-030 L4,1,ws,4,"4,4,4,1,1,3,4,3,4,3,4,3,4,1,4,4,4,1,2,3,4,5,4,4,4",是,否,是,是,是,3,0.8597,Top1=期望技能整篇(等级标准+证据要求),3,技能知识库[MCP与工具调用等级4判断标准证据]n=5top=0.860 ; 学习资源库[MCP与工具调用课程项目测评]n=5top=0.894 ; 学习资源库[MCP与工具调用高级课程]n=5top=0.864,让我从知识库中为您检索相关信息。以下是基于知识库检索结果的详细回答： --- # 如何判断 MCP与工具调用等级4？需要哪些证据？ ## 一、技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-030 | | **所属领域** | 大模型与AI应用 | | **技能定义** | **定义安全、稳定、可解释的工具接口** | | **能力评分区间** | 0–100 分 | --- 
RETR-006,如何判断云端部署等级1，需要哪些证据？,SKILL-038 L1,1,ws,1,"1,1,1,1,1,1,1",是,否,是,是,是,3,0.8552,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[云端部署等级1 判断标准 证据]n=5top=0.855,"## 云端部署等级1的判断标准与证据要求 根据技能知识库的检索结果，**云端部署**（技能ID：SKILL-038）属于**工程部署与工具**领域，其技能定义为：**配置计算、网络、存储和服务发布**。 --- ### 📌 等级1的判断标准 等级1的核心要求是： > **理解基础概念，并能在指导下完成任务。** 也就是说，等级1是""入门级""，重点判断学习者是否： 1. ✅ **理解了云端部署的基础概念**——如计算资源、网络配置、存储管"
RETR-007,如何判断指标设计等级3，需要哪些证据？,SKILL-045 L3,1,ws,3,"3,3,3,1,3,3,1,1,3,3,3",是,否,是,是,是,3,0.8613,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[指标设计等级3]n=5top=0.861,## 指标设计等级3的判断标准与证据要求 **技能ID**：SKILL-045 **所属领域**：问题解决与产品思维 **技能定义**：定义可测量、可解释的业务与产品指标 --- ### 📌 等级3的判断标准 等级3的核心要求是： > **独立完成常见任务、解释方法并处理异常。** 相比等级1-2（理解基础概念、在指导下完成任务），等级3是**能力跃升的关键节点**，重点判断学习者是否具备以下三种能力： | 能力维度 | 具体含义 | 
RETR-008,如何判断团队协作等级5，需要哪些证据？,SKILL-052 L5,1,ws,5,"5,5,5,5,1,1,3,5,5,5,5,5,3,3,5",是,否,是,是,是,3,0.9196,Top1=期望技能整篇(等级标准+证据要求),2,技能知识库[团队协作等级5]n=5top=0.920 ; 技能知识库[团队协作]n=5top=0.907,"## 团队协作等级5的判断标准与证据要求 **技能 ID**：SKILL-052 **所属领域**：沟通协作与职业素养 **技能定义**：共享信息、处理分歧并共同交付 --- ### 📌 等级5的判断标准 等级5的核心要求是： > **设计复杂方案、评估风险并指导他人。** 等级5是最高等级，代表从""执行者""到""设计者与引领者""的跨越。结合""团队协作""的技能定义——共享信息、处理分歧并共同交付，三大能力维度在团队协作场景下的具体含义如下"
RETR-009,如何判断职业探索等级2，需要哪些证据？,SKILL-060 L2,1,ws,2,"2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,1,2,3,2,2,2,1,1,2",是,否,是,是,是,3,0.8892,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[职业探索等级2]n=5top=0.889,"## 职业探索等级2的判断标准与证据要求 **技能 ID**：SKILL-060 **所属领域**：学习成长与项目实践 **技能定义**：比较岗位、验证兴趣并更新目标 --- ### 📌 等级2的判断标准 等级2的核心要求是： > **理解基础概念，并在指导下完成任务。** 等级2与等级1同属""入门阶段""，但等级2应在等级1的基础上有所深入。结合""职业探索""的技能定义——**比较岗位、验证兴趣并更新目标**，等级2的具体判断标准如下： "
RETR-034,如何判断计算机网络等级2，需要哪些证据？,SKILL-005 L2,1,ws,2,"2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,1,2,3,2,2,2,1,1,2",是,否,是,是,是,3,0.9356,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[计算机网络技能等级]n=5top=0.936,"## 计算机网络等级2的判断标准与证据要求 **技能 ID**：SKILL-005 **所属领域**：编程与计算基础 **技能定义**：理解网络协议、HTTP和服务通信 --- ### 📌 等级2的判断标准 等级2的核心要求是： > **理解基础概念，并在指导下完成任务。** 等级2与等级1同属""入门阶段""，但等级2应在等级1的基础上有更深入的理解和更多实践。结合""计算机网络""的技能定义——**理解网络协议、HTTP和服务通信**，等级"
