文件名,skill_id,技能名,所属领域,技能定义,字符数,来源卡片ID,证据等级,数据切分
SKILL-001_Python编程.md,SKILL-001,Python编程,编程与计算基础,Python语法、标准库及常用工程实践,574,KC-SKILL-001-L1 / KC-SKILL-001-L2 / KC-SKILL-001-L3 / KC-SKILL-001-L4 / KC-SKILL-001-L5,primary_derived,dev
SKILL-002_数据结构与算法.md,SKILL-002,数据结构与算法,编程与计算基础,使用常见数据结构和算法解决问题,564,KC-SKILL-002-L1 / KC-SKILL-002-L2 / KC-SKILL-002-L3 / KC-SKILL-002-L4 / KC-SKILL-002-L5,primary_derived,dev
SKILL-003_面向对象设计.md,SKILL-003,面向对象设计,编程与计算基础,使用抽象、封装和组合组织代码,557,KC-SKILL-003-L1 / KC-SKILL-003-L2 / KC-SKILL-003-L3 / KC-SKILL-003-L4 / KC-SKILL-003-L5,primary_derived,dev
SKILL-004_计算机系统基础.md,SKILL-004,计算机系统基础,编程与计算基础,理解操作系统、存储、进程与计算资源,566,KC-SKILL-004-L1 / KC-SKILL-004-L2 / KC-SKILL-004-L3 / KC-SKILL-004-L4 / KC-SKILL-004-L5,primary_derived,dev
SKILL-005_计算机网络.md,SKILL-005,计算机网络,编程与计算基础,理解网络协议、HTTP和服务通信,553,KC-SKILL-005-L1 / KC-SKILL-005-L2 / KC-SKILL-005-L3 / KC-SKILL-005-L4 / KC-SKILL-005-L5,primary_derived,dev
SKILL-006_Linux使用.md,SKILL-006,Linux使用,编程与计算基础,使用命令行、权限和进程工具完成开发任务,568,KC-SKILL-006-L1 / KC-SKILL-006-L2 / KC-SKILL-006-L3 / KC-SKILL-006-L4 / KC-SKILL-006-L5,primary_derived,dev
SKILL-007_软件工程.md,SKILL-007,软件工程,编程与计算基础,模块化、接口、代码规范和可维护性,547,KC-SKILL-007-L1 / KC-SKILL-007-L2 / KC-SKILL-007-L3 / KC-SKILL-007-L4 / KC-SKILL-007-L5,primary_derived,dev
SKILL-008_测试与调试.md,SKILL-008,测试与调试,编程与计算基础,定位缺陷并设计单元、集成和回归测试,554,KC-SKILL-008-L1 / KC-SKILL-008-L2 / KC-SKILL-008-L3 / KC-SKILL-008-L4 / KC-SKILL-008-L5,primary_derived,dev
SKILL-009_SQL.md,SKILL-009,SQL,数据处理与分析,查询、聚合、连接和优化结构化数据,541,KC-SKILL-009-L1 / KC-SKILL-009-L2 / KC-SKILL-009-L3 / KC-SKILL-009-L4 / KC-SKILL-009-L5,primary_derived,dev
SKILL-010_数据清洗.md,SKILL-010,数据清洗,数据处理与分析,识别并处理缺失、重复、异常和格式问题,549,KC-SKILL-010-L1 / KC-SKILL-010-L2 / KC-SKILL-010-L3 / KC-SKILL-010-L4 / KC-SKILL-010-L5,primary_derived,dev
SKILL-011_统计学基础.md,SKILL-011,统计学基础,数据处理与分析,描述统计、分布、估计和假设检验,552,KC-SKILL-011-L1 / KC-SKILL-011-L2 / KC-SKILL-011-L3 / KC-SKILL-011-L4 / KC-SKILL-011-L5,primary_derived,dev
SKILL-012_探索性数据分析.md,SKILL-012,探索性数据分析,数据处理与分析,通过统计和图形发现数据规律与问题,565,KC-SKILL-012-L1 / KC-SKILL-012-L2 / KC-SKILL-012-L3 / KC-SKILL-012-L4 / KC-SKILL-012-L5,primary_derived,dev
SKILL-013_数据可视化.md,SKILL-013,数据可视化,数据处理与分析,选择合适图表并清晰表达数据结论,552,KC-SKILL-013-L1 / KC-SKILL-013-L2 / KC-SKILL-013-L3 / KC-SKILL-013-L4 / KC-SKILL-013-L5,primary_derived,dev
SKILL-014_Excel与BI工具.md,SKILL-014,Excel与BI工具,数据处理与分析,使用电子表格和BI工具完成分析与报告,585,KC-SKILL-014-L1 / KC-SKILL-014-L2 / KC-SKILL-014-L3 / KC-SKILL-014-L4 / KC-SKILL-014-L5,primary_derived,dev
SKILL-015_数据建模.md,SKILL-015,数据建模,数据处理与分析,设计指标口径、事实表和维度关系,546,KC-SKILL-015-L1 / KC-SKILL-015-L2 / KC-SKILL-015-L3 / KC-SKILL-015-L4 / KC-SKILL-015-L5,primary_derived,dev
SKILL-016_实验与AB测试.md,SKILL-016,实验与A/B测试,数据处理与分析,设计实验、分析显著性并解释业务影响,572,KC-SKILL-016-L1 / KC-SKILL-016-L2 / KC-SKILL-016-L3 / KC-SKILL-016-L4 / KC-SKILL-016-L5,primary_derived,dev
