resource_id,title,resource_type,provider,url,difficulty,estimated_hours,prerequisite_score,page_kind,metadata_scope,verified_individual_page,claim_level,summary
RES-0001,人工智能导论,verified_course_metadata,西安电子科技大学 / 中国大学MOOC,https://higher.smartedu.cn/course/66ca648c711dc30c3464e7e0,beginner,36,20,course,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0002,人工智能概论,verified_course_metadata,北京联合大学 / 中国大学MOOC,https://higher.smartedu.cn/course/68ac5cd9d5f9b8b6cf61fbd1,beginner,38,20,course,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0003,人工智能导论,verified_course_metadata,浙江工业大学 / 中国大学MOOC,https://higher.smartedu.cn/h5/course/62354d0e9906eace048eba3e,beginner,38,20,course,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0004,人工智能基础,verified_course_metadata,合肥工业大学 / 中国大学MOOC,https://higher.smartedu.cn/course/68c09681a9f4619f8f00bf58,beginner,20,20,course,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0005,人工智能,verified_course_metadata,西北师范大学 / 学堂在线,https://higher.smartedu.cn/course/62354ce39906eace048df080,intermediate,50,50,course,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0006,浙江大学DeepSeek系列专题线上公开课,verified_course_metadata,浙江大学,https://higher.smartedu.cn/course/lmc/67dff4b358a122fb4a976832,intermediate,12,50,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0007,“人工智能先导计划”通识系列讲座,verified_course_metadata,西安交通大学,https://higher.smartedu.cn/course/lmc/67dfeca5324633a85ec294a7,beginner,8,20,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0008,DeepSeek与未来：解码智能时代的无限可能系列公开课,verified_course_metadata,哈尔滨工业大学,https://higher.smartedu.cn/course/lmc/67e2680a58a122fb4a977ff2,intermediate,14,50,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0009,北京理工大学人工智能公开课,verified_course_metadata,北京理工大学,https://higher.smartedu.cn/course/lmc/6800543858a122fb4a97e084,intermediate,24,50,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0010,AI+能源：油气行业的智能化变革与实践,verified_course_metadata,中国石油大学（北京）,https://higher.smartedu.cn/course/lmc/69ba1cef0976b58e126c484f,intermediate,20,50,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0011,国产大模型通义千问介绍及应用,verified_course_metadata,阿里云计算有限公司,https://higher.smartedu.cn/course/lmc/67d3d09392941a01a154a9e2,intermediate,10,50,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0012,高校教师文心一言大模型应用场景探索与实战,verified_course_metadata,百度在线网络技术（北京）有限公司,https://higher.smartedu.cn/course/lmc/67da63c02f4f1bef26a7e76a,beginner,12,20,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0013,基于清言的教育辅助实践,verified_course_metadata,北京智谱华章科技有限公司,https://higher.smartedu.cn/course/lmc/67d7d43f625fca5f6cf90861,beginner,8,20,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0014,以DeepSeek为代表的大模型前沿进展及其高效运用,verified_course_metadata,清华大学,https://higher.smartedu.cn/course/lmc/67d7cf98625fca5f6cf9076e,intermediate,8,50,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0015,国产大模型-Kimi：模型介绍、基础功能、拓展功能和多智能体,verified_course_metadata,浙江大学,https://higher.smartedu.cn/course/lmc/67da675e2f4f1bef26a7e7ec,beginner,14,20,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
RES-0016,玩转星火大模型,verified_course_metadata,科大讯飞股份有限公司,https://higher.smartedu.cn/course/lmc/67d7d43f625fca5f6cf90860,beginner,16,20,course_series,标题、提供方、链接和页面类型,True,verified_primary,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。
