case_id,query,expected_card_ids,expected_doc,covered_by,本库是否覆盖,hit
RETR-001,如何判断Python编程等级1，需要哪些证据？,KC-SKILL-001-L1,★ SKILL-001_Python编程.md,技能知识库（已建）,是,
RETR-002,如何判断测试与调试等级3，需要哪些证据？,KC-SKILL-008-L3,★ SKILL-008_测试与调试.md,技能知识库（已建）,是,
RETR-003,如何判断数据建模等级5，需要哪些证据？,KC-SKILL-015-L5,★ SKILL-015_数据建模.md,技能知识库（已建）,是,
RETR-004,如何判断自然语言处理等级2，需要哪些证据？,KC-SKILL-023-L2,★ SKILL-023_自然语言处理.md,技能知识库（已建）,是,
RETR-005,如何判断MCP与工具调用等级4，需要哪些证据？,KC-SKILL-030-L4,★ SKILL-030_MCP与工具调用.md,技能知识库（已建）,是,
RETR-006,如何判断云端部署等级1，需要哪些证据？,KC-SKILL-038-L1,★ SKILL-038_云端部署.md,技能知识库（已建）,是,
RETR-007,如何判断指标设计等级3，需要哪些证据？,KC-SKILL-045-L3,★ SKILL-045_指标设计.md,技能知识库（已建）,是,
RETR-008,如何判断团队协作等级5，需要哪些证据？,KC-SKILL-052-L5,★ SKILL-052_团队协作.md,技能知识库（已建）,是,
RETR-009,如何判断职业探索等级2，需要哪些证据？,KC-SKILL-060-L2,★ SKILL-060_职业探索.md,技能知识库（已建）,是,
RETR-010,API设计课程主题卡（intermediate）适合什么水平，预计需要多长时间？,KC-RES-0034,资源卡 KC-RES-0034,学习资源库（待建，表格型）,否,
RETR-011,统计学基础课程主题卡（advanced）适合什么水平，预计需要多长时间？,KC-RES-0071,资源卡 KC-RES-0071,学习资源库（待建，表格型）,否,
RETR-012,书面沟通课程主题卡（beginner）适合什么水平，预计需要多长时间？,KC-RES-0108,资源卡 KC-RES-0108,学习资源库（待建，表格型）,否,
RETR-013,大模型基础实践项目-025适合什么水平，预计需要多长时间？,KC-RES-0145,资源卡 KC-RES-0145,学习资源库（待建，表格型）,否,
RETR-014,数据结构与算法实践项目-062适合什么水平，预计需要多长时间？,KC-RES-0182,资源卡 KC-RES-0182,学习资源库（待建，表格型）,否,
RETR-015,监控与可观测性实践项目-099适合什么水平，预计需要多长时间？,KC-RES-0219,资源卡 KC-RES-0219,学习资源库（待建，表格型）,否,
RETR-016,实验与A/B测试实践项目-136适合什么水平，预计需要多长时间？,KC-RES-0256,资源卡 KC-RES-0256,学习资源库（待建，表格型）,否,
RETR-017,时间管理实践项目-173适合什么水平，预计需要多长时间？,KC-RES-0293,资源卡 KC-RES-0293,学习资源库（待建，表格型）,否,
RETR-018,MCP与工具调用实践项目-210适合什么水平，预计需要多长时间？,KC-RES-0330,资源卡 KC-RES-0330,学习资源库（待建，表格型）,否,
RETR-019,软件工程实践项目-247适合什么水平，预计需要多长时间？,KC-RES-0367,资源卡 KC-RES-0367,学习资源库（待建，表格型）,否,
RETR-020,用户研究实践项目-284适合什么水平，预计需要多长时间？,KC-RES-0404,资源卡 KC-RES-0404,学习资源库（待建，表格型）,否,
RETR-021,模型评估能力测评-021适合什么水平，预计需要多长时间？,KC-RES-0441,资源卡 KC-RES-0441,学习资源库（待建，表格型）,否,
