user_id,persona_code,is_golden,stage,age_band,major,education_level,academic_or_job_status,experience_months,weekly_learning_hours,target_role_id,secondary_role_id,preferred_city,preferred_work_mode,career_goal,current_challenge,consent_status,data_retention_days,created_at,schema_version,origin,is_synthetic,source_ids,generated_at,confidence,claim_level,verification_status,last_verified_at,license_scope,is_market_fact,data_split
USER-G001,GOLD-001,true,student,18-22,计算机科学与技术,bachelor,本科大三,8,12,ROLE-AI-ALG,ROLE-DATA,武汉,hybrid,在3至5年内成长为能够独立交付项目的AI算法工程师,机器学习基础较好，但缺少完整算法项目,granted_for_demo,365,2025-10-11T16:00:00Z,1.2.0,synthetic,true,SRC-SYNTH,2026-09-13T00:00:00+08:00,0.98,synthetic,not_applicable,,team_generated,false,golden
USER-G002,GOLD-002,true,student,18-22,软件工程,bachelor,本科大四,10,10,ROLE-AI-APP,ROLE-AI-ALG,南京,onsite,在3至5年内成长为能够独立交付项目的AI应用开发工程师,能够开发后端服务，但RAG评测经验不足,granted_for_demo,365,2025-06-23T16:00:00Z,1.2.0,synthetic,true,SRC-SYNTH,2026-09-13T00:00:00+08:00,0.98,synthetic,not_applicable,,team_generated,false,golden
USER-G003,GOLD-003,true,student,18-22,数据科学与大数据技术,bachelor,本科大三,6,14,ROLE-DATA,ROLE-AI-ALG,深圳,remote,在3至5年内成长为能够独立交付项目的数据分析师,统计基础扎实，但业务表达和BI经验不足,granted_for_demo,365,2025-07-21T16:00:00Z,1.2.0,synthetic,true,SRC-SYNTH,2026-09-13T00:00:00+08:00,0.98,synthetic,not_applicable,,team_generated,false,golden
USER-G004,GOLD-004,true,student,18-22,智能科学与技术,master,硕士一年级,12,16,ROLE-AI-ALG,ROLE-AI-APP,深圳,remote,在3至5年内成长为能够独立交付项目的AI算法工程师,论文复现能力较强，但工程部署薄弱,granted_for_demo,365,2025-06-13T16:00:00Z,1.2.0,synthetic,true,SRC-SYNTH,2026-09-13T00:00:00+08:00,0.98,synthetic,not_applicable,,team_generated,false,golden
USER-G005,GOLD-005,true,student,18-22,信息管理与信息系统,bachelor,本科大四,9,9,ROLE-DATA,ROLE-AI-APP,深圳,hybrid,在3至5年内成长为能够独立交付项目的数据分析师,掌握报表工具，需要补充Python和实验设计,granted_for_demo,365,2025-06-18T16:00:00Z,1.2.0,synthetic,true,SRC-SYNTH,2026-09-13T00:00:00+08:00,0.98,synthetic,not_applicable,,team_generated,false,golden
USER-G006,GOLD-006,true,student,18-22,计算机科学与技术,bachelor,本科大二,2,15,ROLE-AI-APP,ROLE-DATA,北京,hybrid,在3至5年内成长为能够独立交付项目的AI应用开发工程师,兴趣明确但技能证据少，需要先完成可运行项目,granted_for_demo,365,2025-08-23T16:00:00Z,1.2.0,synthetic,true,SRC-SYNTH,2026-09-13T00:00:00+08:00,0.98,synthetic,not_applicable,,team_generated,false,golden
USER-G007,GOLD-007,true,newcomer,22-26,软件工程,bachelor,后端开发新人,18,8,ROLE-AI-APP,ROLE-AI-ALG,北京,onsite,在3至5年内成长为能够独立交付项目的AI应用开发工程师,计划转向AI应用，缺少知识库与Agent经验,granted_for_demo,365,2025-05-03T16:00:00Z,1.2.0,synthetic,true,SRC-SYNTH,2026-09-13T00:00:00+08:00,0.98,synthetic,not_applicable,,team_generated,false,golden
USER-G008,GOLD-008,true,newcomer,22-26,数据科学与大数据技术,bachelor,数据助理,14,7,ROLE-DATA,ROLE-AI-APP,杭州,remote,在3至5年内成长为能够独立交付项目的数据分析师,日常报表熟练，但统计推断和业务洞察不足,granted_for_demo,365,2025-06-22T16:00:00Z,1.2.0,synthetic,true,SRC-SYNTH,2026-09-13T00:00:00+08:00,0.98,synthetic,not_applicable,,team_generated,false,golden
USER-G009,GOLD-009,true,newcomer,22-26,软件工程,bachelor,测试工程新人,20,6,ROLE-AI-APP,ROLE-DATA,上海,remote,在3至5年内成长为能够独立交付项目的AI应用开发工程师,质量意识较强，需要补充服务开发和部署,granted_for_demo,365,2025-08-15T16:00:00Z,1.2.0,synthetic,true,SRC-SYNTH,2026-09-13T00:00:00+08:00,0.98,synthetic,not_applicable,,team_generated,false,golden
USER-G010,GOLD-010,true,newcomer,22-26,智能科学与技术,bachelor,算法实习转正新人,10,11,ROLE-AI-ALG,ROLE-AI-APP,成都,remote,在3至5年内成长为能够独立交付项目的AI算法工程师,模型训练基础较好，跨岗位沟通和复现文档不足,granted_for_demo,365,2025-09-25T16:00:00Z,1.2.0,synthetic,true,SRC-SYNTH,2026-09-13T00:00:00+08:00,0.98,synthetic,not_applicable,,team_generated,false,golden
USER-G011,GOLD-011,true,newcomer,22-26,信息管理与信息系统,bachelor,运营分析新人,24,5,ROLE-DATA,ROLE-AI-APP,深圳,onsite,在3至5年内成长为能够独立交付项目的数据分析师,业务经验较强，但代码自动化与数据管道能力不足,granted_for_demo,365,2025-04-13T16:00:00Z,1.2.0,synthetic,true,SRC-SYNTH,2026-09-13T00:00:00+08:00,0.98,synthetic,not_applicable,,team_generated,false,golden
USER-G012,GOLD-012,true,newcomer,22-26,计算机科学与技术,bachelor,数据工程新人,30,7,ROLE-AI-ALG,ROLE-DATA,上海,onsite,在3至5年内成长为能够独立交付项目的AI算法工程师,希望转向算法，旧有机器学习技能需要重新验证,withdrawal_test_case,365,2025-04-05T16:00:00Z,1.2.0,synthetic,true,SRC-SYNTH,2026-09-13T00:00:00+08:00,0.98,synthetic,not_applicable,,team_generated,false,golden
