skill_id,skill_key,name,dimension_id,dimension_name,definition,score_min,score_max,half_life_days,schema_version,origin,is_synthetic,source_ids,generated_at,confidence,claim_level,verification_status,last_verified_at,license_scope,is_market_fact,data_split
SKILL-001,python,Python编程,DIM-01,编程与计算基础,Python语法、标准库及常用工程实践,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-002,algorithms,数据结构与算法,DIM-01,编程与计算基础,使用常见数据结构和算法解决问题,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-003,oop,面向对象设计,DIM-01,编程与计算基础,使用抽象、封装和组合组织代码,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-004,computer_systems,计算机系统基础,DIM-01,编程与计算基础,理解操作系统、存储、进程与计算资源,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-005,networks,计算机网络,DIM-01,编程与计算基础,理解网络协议、HTTP和服务通信,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-006,linux,Linux使用,DIM-01,编程与计算基础,使用命令行、权限和进程工具完成开发任务,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-007,software_engineering,软件工程,DIM-01,编程与计算基础,模块化、接口、代码规范和可维护性,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-008,testing_debugging,测试与调试,DIM-01,编程与计算基础,定位缺陷并设计单元、集成和回归测试,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-009,sql,SQL,DIM-02,数据处理与分析,查询、聚合、连接和优化结构化数据,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-010,data_cleaning,数据清洗,DIM-02,数据处理与分析,识别并处理缺失、重复、异常和格式问题,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-011,statistics,统计学基础,DIM-02,数据处理与分析,描述统计、分布、估计和假设检验,0,100,730,1.1.0,derived,false,SRC-ONET|SRC-WEF,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-012,eda,探索性数据分析,DIM-02,数据处理与分析,通过统计和图形发现数据规律与问题,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
SKILL-013,visualization,数据可视化,DIM-02,数据处理与分析,选择合适图表并清晰表达数据结论,0,100,365,1.1.0,derived,false,SRC-ONET|SRC-ESCO,2026-09-05T00:00:00+08:00,0.94,primary_derived,derived,,cc_by_4_0_attribution,false,dev
