case_id,维度,query,期望文档,期望等级,th0.3_命中@1,th0.3_命中@5,th0.3_Top1文档,th0.3_Top1匹配度,th0.3_Top5条数,th0.5_命中@1,th0.5_命中@5,th0.5_Top1文档,th0.5_Top1匹配度,th0.5_Top5条数,th0.6_命中@1,th0.6_命中@5,th0.6_Top1文档,th0.6_Top1匹配度,th0.6_Top5条数
RETR-001,,如何判断Python编程等级1，需要哪些证据？,SKILL-001_Python编程.md,L1,1,1,SKILL-001_Python编程,0.85,5,1,1,SKILL-001_Python编程,0.85,5,1,1,SKILL-001_Python编程,0.85,5
RETR-002,,如何判断测试与调试等级3，需要哪些证据？,SKILL-008_测试与调试.md,L3,1,1,SKILL-008_测试与调试,0.84,5,1,1,SKILL-008_测试与调试,0.84,5,1,1,SKILL-008_测试与调试,0.84,5
RETR-003,,如何判断数据建模等级5，需要哪些证据？,SKILL-015_数据建模.md,L5,1,1,SKILL-015_数据建模,0.82,5,1,1,SKILL-015_数据建模,0.82,5,1,1,SKILL-015_数据建模,0.82,2
RETR-004,,如何判断自然语言处理等级2，需要哪些证据？,SKILL-023_自然语言处理.md,L2,1,1,SKILL-023_自然语言处理,0.88,5,1,1,SKILL-023_自然语言处理,0.88,5,1,1,SKILL-023_自然语言处理,0.88,2
RETR-005,,如何判断MCP与工具调用等级4，需要哪些证据？,SKILL-030_MCP与工具调用.md,L4,1,1,SKILL-030_MCP与工具调用,0.87,5,0,0,SKILL-023_自然语言处理,0.88,5,1,1,SKILL-030_MCP与工具调用,0.87,5
RETR-006,,如何判断云端部署等级1，需要哪些证据？,SKILL-038_云端部署.md,L1,1,1,SKILL-038_云端部署,0.86,5,1,1,SKILL-038_云端部署,0.86,5,1,1,SKILL-038_云端部署,0.86,5
RETR-007,,如何判断指标设计等级3，需要哪些证据？,SKILL-045_指标设计.md,L3,1,1,SKILL-045_指标设计,0.77,5,1,1,SKILL-045_指标设计,0.77,5,1,1,SKILL-045_指标设计,0.77,5
RETR-008,,如何判断团队协作等级5，需要哪些证据？,SKILL-052_团队协作.md,L5,1,1,SKILL-052_团队协作,0.86,5,1,1,SKILL-052_团队协作,0.86,5,1,1,SKILL-052_团队协作,0.86,5
RETR-009,,如何判断职业探索等级2，需要哪些证据？,SKILL-060_职业探索.md,L2,1,1,SKILL-060_职业探索,0.84,5,1,1,SKILL-060_职业探索,0.84,5,1,1,SKILL-060_职业探索,0.84,5
RETR-034,,如何判断计算机网络等级2，需要哪些证据？,SKILL-005_计算机网络.md,L2,1,1,SKILL-005_计算机网络,0.9,5,1,1,SKILL-005_计算机网络,0.9,5,1,1,SKILL-005_计算机网络,0.9,5
RETR-035,,如何判断探索性数据分析等级4，需要哪些证据？,SKILL-012_探索性数据分析.md,L4,1,1,SKILL-012_探索性数据分析,0.91,5,1,1,SKILL-012_探索性数据分析,0.91,5,1,1,SKILL-012_探索性数据分析,0.91,5
RETR-036,,如何判断特征工程等级1，需要哪些证据？,SKILL-020_特征工程.md,L1,1,1,SKILL-020_特征工程,0.82,5,1,1,SKILL-020_特征工程,0.82,5,1,1,SKILL-020_特征工程,0.82,5
RETR-037,,如何判断RAG应用等级3，需要哪些证据？,SKILL-027_RAG应用.md,L3,1,1,SKILL-027_RAG应用,0.81,5,1,1,SKILL-027_RAG应用,0.81,5,1,1,SKILL-027_RAG应用,0.81,2
RETR-038,,如何判断API设计等级5，需要哪些证据？,SKILL-034_API设计.md,L5,1,1,SKILL-034_API设计,0.82,5,1,1,SKILL-034_API设计,0.82,5,1,1,SKILL-034_API设计,0.82,2
RETR-039,,如何判断系统思维等级2，需要哪些证据？,SKILL-042_系统思维.md,L2,1,1,SKILL-042_系统思维,0.84,5,1,1,SKILL-042_系统思维,0.84,5,1,1,SKILL-042_系统思维,0.84,5
RETR-040,,如何判断表达与汇报等级4，需要哪些证据？,SKILL-049_表达与汇报.md,L4,1,1,SKILL-049_表达与汇报,0.86,5,1,1,SKILL-049_表达与汇报,0.86,5,1,1,SKILL-049_表达与汇报,0.86,3
RETR-041,,如何判断项目规划等级1，需要哪些证据？,SKILL-057_项目规划.md,L1,1,1,SKILL-057_项目规划,0.82,5,1,1,SKILL-057_项目规划,0.82,5,1,1,SKILL-057_项目规划,0.82,5
RETR-066,,如何判断数据结构与算法等级1，需要哪些证据？,SKILL-002_数据结构与算法.md,L1,1,1,SKILL-002_数据结构与算法,0.87,5,1,1,SKILL-002_数据结构与算法,0.87,5,1,1,SKILL-002_数据结构与算法,0.87,5
RETR-067,,如何判断SQL等级3，需要哪些证据？,SKILL-009_SQL.md,L3,1,1,SKILL-009_SQL,0.81,5,1,1,SKILL-009_SQL,0.81,5,1,1,SKILL-009_SQL,0.81,2
RETR-068,,如何判断实验与A/B测试等级5，需要哪些证据？,SKILL-016_实验与A/B测试.md,L5,1,1,SKILL-016_实验与AB测试,0.89,5,1,1,SKILL-016_实验与AB测试,0.89,5,1,1,SKILL-016_实验与AB测试,0.89,5
RETR-069,,如何判断模型调优等级2，需要哪些证据？,SKILL-024_模型调优.md,L2,1,1,SKILL-024_模型调优,0.86,5,1,1,SKILL-024_模型调优,0.86,5,1,1,SKILL-024_模型调优,0.86,5
RETR-070,,如何判断模型微调等级4，需要哪些证据？,SKILL-031_模型微调.md,L4,1,1,SKILL-031_模型微调,0.83,5,1,1,SKILL-031_模型微调,0.83,5,1,1,SKILL-031_模型微调,0.83,5
RETR-071,,如何判断监控与可观测性等级1，需要哪些证据？,SKILL-039_监控与可观测性.md,L1,1,1,SKILL-039_监控与可观测性,0.91,5,1,1,SKILL-039_监控与可观测性,0.91,5,1,1,SKILL-039_监控与可观测性,0.91,5
RETR-072,,如何判断业务理解等级3，需要哪些证据？,SKILL-046_业务理解.md,L3,1,1,SKILL-046_业务理解,0.87,5,1,1,SKILL-046_业务理解,0.87,5,1,1,SKILL-046_业务理解,0.87,5
RETR-073,,如何判断时间管理等级5，需要哪些证据？,SKILL-053_时间管理.md,L5,1,1,SKILL-053_时间管理,0.86,5,1,1,SKILL-053_时间管理,0.86,5,1,1,SKILL-053_时间管理,0.86,5
RETR-099,,如何判断Linux使用等级2，需要哪些证据？,SKILL-006_Linux使用.md,L2,1,1,SKILL-006_Linux使用,0.82,5,1,1,SKILL-006_Linux使用,0.82,5,1,1,SKILL-006_Linux使用,0.82,2
RETR-100,,如何判断数据可视化等级4，需要哪些证据？,SKILL-013_数据可视化.md,L4,1,1,SKILL-013_数据可视化,0.87,5,1,1,SKILL-013_数据可视化,0.87,5,1,1,SKILL-013_数据可视化,0.87,5
RETR-101,,如何判断模型评估等级1，需要哪些证据？,SKILL-021_模型评估.md,L1,1,1,SKILL-021_模型评估,0.73,5,1,1,SKILL-021_模型评估,0.73,5,1,1,SKILL-021_模型评估,0.73,5
RETR-102,,如何判断向量数据库等级3，需要哪些证据？,SKILL-028_向量数据库.md,L3,1,1,SKILL-028_向量数据库,0.9,5,1,1,SKILL-028_向量数据库,0.9,5,1,1,SKILL-028_向量数据库,0.9,4
RETR-103,,如何判断后端服务开发等级5，需要哪些证据？,SKILL-035_后端服务开发.md,L5,1,1,SKILL-035_后端服务开发,0.88,5,1,1,SKILL-035_后端服务开发,0.88,5,1,1,SKILL-035_后端服务开发,0.88,5
RETR-104,,如何判断需求分析等级2，需要哪些证据？,SKILL-043_需求分析.md,L2,1,1,SKILL-043_需求分析,0.87,5,1,1,SKILL-043_需求分析,0.87,5,1,1,SKILL-043_需求分析,0.87,5
RETR-105,,如何判断跨岗位沟通等级4，需要哪些证据？,SKILL-050_跨岗位沟通.md,L4,1,1,SKILL-050_跨岗位沟通,0.88,5,1,1,SKILL-050_跨岗位沟通,0.88,5,1,1,SKILL-050_跨岗位沟通,0.88,5
RETR-106,,如何判断项目交付等级1，需要哪些证据？,SKILL-058_项目交付.md,L1,1,1,SKILL-058_项目交付,0.83,5,1,1,SKILL-058_项目交付,0.83,5,1,1,SKILL-058_项目交付,0.83,5
RETR-131,,如何判断面向对象设计等级1，需要哪些证据？,SKILL-003_面向对象设计.md,L1,1,1,SKILL-003_面向对象设计,0.89,5,1,1,SKILL-003_面向对象设计,0.89,5,1,1,SKILL-003_面向对象设计,0.89,2
RETR-132,,如何判断数据清洗等级3，需要哪些证据？,SKILL-010_数据清洗.md,L3,1,1,SKILL-010_数据清洗,0.8,5,1,1,SKILL-010_数据清洗,0.8,5,1,1,SKILL-010_数据清洗,0.8,2
RETR-133,,如何判断线性代数等级5，需要哪些证据？,SKILL-017_线性代数.md,L5,1,1,SKILL-017_线性代数,0.86,5,1,1,SKILL-017_线性代数,0.86,5,1,1,SKILL-017_线性代数,0.86,5
