table_name,table_description,module_owner,field_name,data_type,required,primary_key,description,example
dimensions,8个雷达图展示维度,画像/前端,dimension_id,string,true,true,dimension id,DIM-01
dimensions,8个雷达图展示维度,画像/前端,name,string,true,false,name,编程与计算基础
dimensions,8个雷达图展示维度,画像/前端,description,string,true,false,description,代码、算法、计算机系统与软件质量基础
dimensions,8个雷达图展示维度,画像/前端,display_order,integer,true,false,display order,1
dimensions,8个雷达图展示维度,画像/前端,schema_version,string,true,false,数据契约版本,1.2.0
dimensions,8个雷达图展示维度,画像/前端,origin,string,true,false,数据来源类型：synthetic、public_metadata或derived,derived
dimensions,8个雷达图展示维度,画像/前端,is_synthetic,boolean,true,false,是否为模拟或派生演示数据,false
dimensions,8个雷达图展示维度,画像/前端,source_ids,string,true,false,来源ID，多个值使用竖线分隔,SRC-ONET|SRC-ESCO|SRC-WEF
dimensions,8个雷达图展示维度,画像/前端,generated_at,datetime,true,false,记录生成时间,2026-09-13T00:00:00+08:00
dimensions,8个雷达图展示维度,画像/前端,confidence,number,true,false,记录可信度，0至1,0.95
dimensions,8个雷达图展示维度,画像/前端,claim_level,string,true,false,事实声明层级：官方已核验、官方参考派生或纯模拟,primary_derived
dimensions,8个雷达图展示维度,画像/前端,verification_status,string,true,false,来源核验状态,derived
dimensions,8个雷达图展示维度,画像/前端,last_verified_at,nullable,false,false,外部元数据最近核验日期；不适用时为空,
dimensions,8个雷达图展示维度,画像/前端,license_scope,string,true,false,许可或可重用范围,cc_by_4_0_attribution
dimensions,8个雷达图展示维度,画像/前端,is_market_fact,boolean,true,false,是否可解释为真实市场事实；模拟岗位和趋势恒为false,false
dimensions,8个雷达图展示维度,画像/前端,data_split,string,true,false,数据用途划分：golden、dev或test,dev
skills,60项原子技能及衰减参数,画像/路径,skill_id,string,true,true,原子技能ID,SKILL-001
skills,60项原子技能及衰减参数,画像/路径,skill_key,string,true,false,skill key,python
skills,60项原子技能及衰减参数,画像/路径,name,string,true,false,name,Python编程
skills,60项原子技能及衰减参数,画像/路径,dimension_id,string,true,false,dimension id,DIM-01
skills,60项原子技能及衰减参数,画像/路径,dimension_name,string,true,false,dimension name,编程与计算基础
skills,60项原子技能及衰减参数,画像/路径,definition,string,true,false,definition,Python语法、标准库及常用工程实践
skills,60项原子技能及衰减参数,画像/路径,score_min,integer,true,false,score min,0
skills,60项原子技能及衰减参数,画像/路径,score_max,integer,true,false,score max,100
skills,60项原子技能及衰减参数,画像/路径,half_life_days,integer,true,false,half life days,365
skills,60项原子技能及衰减参数,画像/路径,schema_version,string,true,false,数据契约版本,1.2.0
skills,60项原子技能及衰减参数,画像/路径,origin,string,true,false,数据来源类型：synthetic、public_metadata或derived,derived
skills,60项原子技能及衰减参数,画像/路径,is_synthetic,boolean,true,false,是否为模拟或派生演示数据,false
skills,60项原子技能及衰减参数,画像/路径,source_ids,string,true,false,来源ID，多个值使用竖线分隔,SRC-ONET|SRC-ESCO
skills,60项原子技能及衰减参数,画像/路径,generated_at,datetime,true,false,记录生成时间,2026-09-13T00:00:00+08:00
skills,60项原子技能及衰减参数,画像/路径,confidence,number,true,false,记录可信度，0至1,0.94
skills,60项原子技能及衰减参数,画像/路径,claim_level,string,true,false,事实声明层级：官方已核验、官方参考派生或纯模拟,primary_derived
skills,60项原子技能及衰减参数,画像/路径,verification_status,string,true,false,来源核验状态,derived
skills,60项原子技能及衰减参数,画像/路径,last_verified_at,nullable,false,false,外部元数据最近核验日期；不适用时为空,
skills,60项原子技能及衰减参数,画像/路径,license_scope,string,true,false,许可或可重用范围,cc_by_4_0_attribution
skills,60项原子技能及衰减参数,画像/路径,is_market_fact,boolean,true,false,是否可解释为真实市场事实；模拟岗位和趋势恒为false,false
skills,60项原子技能及衰减参数,画像/路径,data_split,string,true,false,数据用途划分：golden、dev或test,dev
roles,三个目标岗位,画像/路径,role_id,string,true,true,目标岗位ID,ROLE-AI-ALG
roles,三个目标岗位,画像/路径,name,string,true,false,name,AI算法工程师
roles,三个目标岗位,画像/路径,summary,string,true,false,summary,负责数据处理、模型训练、评估优化及算法实验复现。
roles,三个目标岗位,画像/路径,target_user_stage,string,true,false,target user stage,student|newcomer
roles,三个目标岗位,画像/路径,typical_entry_level,string,true,false,typical entry level,本科及以上，重视数学与项目
roles,三个目标岗位,画像/路径,display_order,integer,true,false,display order,1
roles,三个目标岗位,画像/路径,schema_version,string,true,false,数据契约版本,1.2.0
roles,三个目标岗位,画像/路径,origin,string,true,false,数据来源类型：synthetic、public_metadata或derived,derived
roles,三个目标岗位,画像/路径,is_synthetic,boolean,true,false,是否为模拟或派生演示数据,false
roles,三个目标岗位,画像/路径,source_ids,string,true,false,来源ID，多个值使用竖线分隔,SRC-ONET|SRC-ESCO|SRC-MOHRSS
roles,三个目标岗位,画像/路径,generated_at,datetime,true,false,记录生成时间,2026-09-13T00:00:00+08:00
roles,三个目标岗位,画像/路径,confidence,number,true,false,记录可信度，0至1,0.92
roles,三个目标岗位,画像/路径,claim_level,string,true,false,事实声明层级：官方已核验、官方参考派生或纯模拟,primary_derived
roles,三个目标岗位,画像/路径,verification_status,string,true,false,来源核验状态,derived
roles,三个目标岗位,画像/路径,last_verified_at,nullable,false,false,外部元数据最近核验日期；不适用时为空,
roles,三个目标岗位,画像/路径,license_scope,string,true,false,许可或可重用范围,cc_by_4_0_attribution
roles,三个目标岗位,画像/路径,is_market_fact,boolean,true,false,是否可解释为真实市场事实；模拟岗位和趋势恒为false,false
roles,三个目标岗位,画像/路径,data_split,string,true,false,数据用途划分：golden、dev或test,dev
role_skills,岗位能力要求、权重与目标分,画像/匹配,role_skill_id,string,true,true,role skill id,ROLE-AI-ALG-SKILL-001
role_skills,岗位能力要求、权重与目标分,画像/匹配,role_id,string,true,false,目标岗位ID,ROLE-AI-ALG
role_skills,岗位能力要求、权重与目标分,画像/匹配,skill_id,string,true,false,原子技能ID,SKILL-001
role_skills,岗位能力要求、权重与目标分,画像/匹配,required_score,integer,true,false,required score,82
role_skills,岗位能力要求、权重与目标分,画像/匹配,weight,number,true,false,岗位技能权重，岗位内合计为1,0.072503
role_skills,岗位能力要求、权重与目标分,画像/匹配,is_core,boolean,true,false,is core,true
role_skills,岗位能力要求、权重与目标分,画像/匹配,rationale,string,true,false,rationale,岗位核心能力
role_skills,岗位能力要求、权重与目标分,画像/匹配,schema_version,string,true,false,数据契约版本,1.2.0
role_skills,岗位能力要求、权重与目标分,画像/匹配,origin,string,true,false,数据来源类型：synthetic、public_metadata或derived,derived
role_skills,岗位能力要求、权重与目标分,画像/匹配,is_synthetic,boolean,true,false,是否为模拟或派生演示数据,false
role_skills,岗位能力要求、权重与目标分,画像/匹配,source_ids,string,true,false,来源ID，多个值使用竖线分隔,SRC-ONET|SRC-ESCO|SRC-SYNTH
role_skills,岗位能力要求、权重与目标分,画像/匹配,generated_at,datetime,true,false,记录生成时间,2026-09-13T00:00:00+08:00
role_skills,岗位能力要求、权重与目标分,画像/匹配,confidence,number,true,false,记录可信度，0至1,0.9
role_skills,岗位能力要求、权重与目标分,画像/匹配,claim_level,string,true,false,事实声明层级：官方已核验、官方参考派生或纯模拟,primary_derived
role_skills,岗位能力要求、权重与目标分,画像/匹配,verification_status,string,true,false,来源核验状态,derived
role_skills,岗位能力要求、权重与目标分,画像/匹配,last_verified_at,nullable,false,false,外部元数据最近核验日期；不适用时为空,
role_skills,岗位能力要求、权重与目标分,画像/匹配,license_scope,string,true,false,许可或可重用范围,cc_by_4_0_attribution
role_skills,岗位能力要求、权重与目标分,画像/匹配,is_market_fact,boolean,true,false,是否可解释为真实市场事实；模拟岗位和趋势恒为false,false
role_skills,岗位能力要求、权重与目标分,画像/匹配,data_split,string,true,false,数据用途划分：golden、dev或test,dev
users,高校生与职场新人模拟画像,全模块,user_id,string,true,true,稳定的匿名模拟用户ID,USER-G001
users,高校生与职场新人模拟画像,全模块,persona_code,string,true,false,persona code,GOLD-001
users,高校生与职场新人模拟画像,全模块,is_golden,boolean,true,false,is golden,true
users,高校生与职场新人模拟画像,全模块,stage,string,true,false,stage,student
users,高校生与职场新人模拟画像,全模块,age_band,string,true,false,age band,18-22
users,高校生与职场新人模拟画像,全模块,major,string,true,false,major,计算机科学与技术
users,高校生与职场新人模拟画像,全模块,education_level,string,true,false,education level,bachelor
