scenario_id,module_id,module_name,difficulty,target_role_id,target_user_stage,title,context,initial_prompt,expected_actions,rubric_json,red_flags,privacy_focus,schema_version,origin,is_synthetic,source_ids,generated_at,confidence,claim_level,verification_status,last_verified_at,license_scope,is_market_fact,data_split
SCN-REMOTE-01,SCN-REMOTE,远程协作,beginner,ROLE-AI-ALG,newcomer,远程协作案例01,项目延期但信息未同步。参与者需要在信息较完整的条件下作出回应。,你会如何处理“项目延期但信息未同步”？请先说明需要确认的信息，再给出行动步骤。,复述目标|澄清截止时间|明确负责人|记录决策|约定下一次同步,"{""task_completion"":25,""clarification"":20,""evidence_and_privacy"":20,""collaboration"":20,""reflection"":15}",只催进度|公开指责成员|不记录结论|承诺无法完成的时间,medium,1.1.0,synthetic,true,SRC-SYNTH|SRC-PIPL,2026-09-05T00:00:00+08:00,0.93,synthetic,not_applicable,,reference_only,false,dev
SCN-REMOTE-02,SCN-REMOTE,远程协作,intermediate,ROLE-AI-APP,student,远程协作案例02,跨时区成员对需求理解不一致。参与者需要在存在两处信息缺口的条件下作出回应。,你会如何处理“跨时区成员对需求理解不一致”？请先说明需要确认的信息，再给出行动步骤。,复述目标|澄清截止时间|明确负责人|记录决策|约定下一次同步,"{""task_completion"":25,""clarification"":20,""evidence_and_privacy"":20,""collaboration"":20,""reflection"":15}",只催进度|公开指责成员|不记录结论|承诺无法完成的时间,medium,1.1.0,synthetic,true,SRC-SYNTH|SRC-PIPL,2026-09-05T00:00:00+08:00,0.93,synthetic,not_applicable,,reference_only,false,dev
SCN-REMOTE-03,SCN-REMOTE,远程协作,advanced,ROLE-DATA,newcomer,远程协作案例03,线上会议没有明确责任人。参与者需要在时间紧张且多方目标冲突的条件下作出回应。,你会如何处理“线上会议没有明确责任人”？请先说明需要确认的信息，再给出行动步骤。,复述目标|澄清截止时间|明确负责人|记录决策|约定下一次同步,"{""task_completion"":25,""clarification"":20,""evidence_and_privacy"":20,""collaboration"":20,""reflection"":15}",只催进度|公开指责成员|不记录结论|承诺无法完成的时间,medium,1.1.0,synthetic,true,SRC-SYNTH|SRC-PIPL,2026-09-05T00:00:00+08:00,0.93,synthetic,not_applicable,,reference_only,false,dev
SCN-REMOTE-04,SCN-REMOTE,远程协作,beginner,ROLE-AI-ALG,student,远程协作案例04,代码审查意见存在分歧。参与者需要在信息较完整的条件下作出回应。,你会如何处理“代码审查意见存在分歧”？请先说明需要确认的信息，再给出行动步骤。,复述目标|澄清截止时间|明确负责人|记录决策|约定下一次同步,"{""task_completion"":25,""clarification"":20,""evidence_and_privacy"":20,""collaboration"":20,""reflection"":15}",只催进度|公开指责成员|不记录结论|承诺无法完成的时间,medium,1.1.0,synthetic,true,SRC-SYNTH|SRC-PIPL,2026-09-05T00:00:00+08:00,0.93,synthetic,not_applicable,,reference_only,false,dev
SCN-REMOTE-05,SCN-REMOTE,远程协作,intermediate,ROLE-AI-APP,newcomer,远程协作案例05,异步沟通遗漏关键背景。参与者需要在存在两处信息缺口的条件下作出回应。,你会如何处理“异步沟通遗漏关键背景”？请先说明需要确认的信息，再给出行动步骤。,复述目标|澄清截止时间|明确负责人|记录决策|约定下一次同步,"{""task_completion"":25,""clarification"":20,""evidence_and_privacy"":20,""collaboration"":20,""reflection"":15}",只催进度|公开指责成员|不记录结论|承诺无法完成的时间,medium,1.1.0,synthetic,true,SRC-SYNTH|SRC-PIPL,2026-09-05T00:00:00+08:00,0.93,synthetic,not_applicable,,reference_only,false,dev
SCN-REMOTE-06,SCN-REMOTE,远程协作,advanced,ROLE-DATA,student,远程协作案例06,项目延期但信息未同步。参与者需要在时间紧张且多方目标冲突的条件下作出回应。,你会如何处理“项目延期但信息未同步”？请先说明需要确认的信息，再给出行动步骤。,复述目标|澄清截止时间|明确负责人|记录决策|约定下一次同步,"{""task_completion"":25,""clarification"":20,""evidence_and_privacy"":20,""collaboration"":20,""reflection"":15}",只催进度|公开指责成员|不记录结论|承诺无法完成的时间,medium,1.1.0,synthetic,true,SRC-SYNTH|SRC-PIPL,2026-09-05T00:00:00+08:00,0.93,synthetic,not_applicable,,reference_only,false,dev
SCN-REMOTE-07,SCN-REMOTE,远程协作,beginner,ROLE-AI-ALG,newcomer,远程协作案例07,跨时区成员对需求理解不一致。参与者需要在信息较完整的条件下作出回应。,你会如何处理“跨时区成员对需求理解不一致”？请先说明需要确认的信息，再给出行动步骤。,复述目标|澄清截止时间|明确负责人|记录决策|约定下一次同步,"{""task_completion"":25,""clarification"":20,""evidence_and_privacy"":20,""collaboration"":20,""reflection"":15}",只催进度|公开指责成员|不记录结论|承诺无法完成的时间,medium,1.1.0,synthetic,true,SRC-SYNTH|SRC-PIPL,2026-09-05T00:00:00+08:00,0.93,synthetic,not_applicable,,reference_only,false,dev
SCN-REMOTE-08,SCN-REMOTE,远程协作,intermediate,ROLE-AI-APP,student,远程协作案例08,线上会议没有明确责任人。参与者需要在存在两处信息缺口的条件下作出回应。,你会如何处理“线上会议没有明确责任人”？请先说明需要确认的信息，再给出行动步骤。,复述目标|澄清截止时间|明确负责人|记录决策|约定下一次同步,"{""task_completion"":25,""clarification"":20,""evidence_and_privacy"":20,""collaboration"":20,""reflection"":15}",只催进度|公开指责成员|不记录结论|承诺无法完成的时间,medium,1.1.0,synthetic,true,SRC-SYNTH|SRC-PIPL,2026-09-05T00:00:00+08:00,0.93,synthetic,not_applicable,,reference_only,false,dev
SCN-REMOTE-09,SCN-REMOTE,远程协作,advanced,ROLE-DATA,newcomer,远程协作案例09,代码审查意见存在分歧。参与者需要在时间紧张且多方目标冲突的条件下作出回应。,你会如何处理“代码审查意见存在分歧”？请先说明需要确认的信息，再给出行动步骤。,复述目标|澄清截止时间|明确负责人|记录决策|约定下一次同步,"{""task_completion"":25,""clarification"":20,""evidence_and_privacy"":20,""collaboration"":20,""reflection"":15}",只催进度|公开指责成员|不记录结论|承诺无法完成的时间,medium,1.1.0,synthetic,true,SRC-SYNTH|SRC-PIPL,2026-09-05T00:00:00+08:00,0.93,synthetic,not_applicable,,reference_only,false,dev
SCN-REMOTE-10,SCN-REMOTE,远程协作,beginner,ROLE-AI-ALG,student,远程协作案例10,异步沟通遗漏关键背景。参与者需要在信息较完整的条件下作出回应。,你会如何处理“异步沟通遗漏关键背景”？请先说明需要确认的信息，再给出行动步骤。,复述目标|澄清截止时间|明确负责人|记录决策|约定下一次同步,"{""task_completion"":25,""clarification"":20,""evidence_and_privacy"":20,""collaboration"":20,""reflection"":15}",只催进度|公开指责成员|不记录结论|承诺无法完成的时间,medium,1.1.0,synthetic,true,SRC-SYNTH|SRC-PIPL,2026-09-05T00:00:00+08:00,0.93,synthetic,not_applicable,,reference_only,false,dev
SCN-REMOTE-11,SCN-REMOTE,远程协作,intermediate,ROLE-AI-APP,newcomer,远程协作案例11,项目延期但信息未同步。参与者需要在存在两处信息缺口的条件下作出回应。,你会如何处理“项目延期但信息未同步”？请先说明需要确认的信息，再给出行动步骤。,复述目标|澄清截止时间|明确负责人|记录决策|约定下一次同步,"{""task_completion"":25,""clarification"":20,""evidence_and_privacy"":20,""collaboration"":20,""reflection"":15}",只催进度|公开指责成员|不记录结论|承诺无法完成的时间,medium,1.1.0,synthetic,true,SRC-SYNTH|SRC-PIPL,2026-09-05T00:00:00+08:00,0.93,synthetic,not_applicable,,reference_only,false,dev
SCN-REMOTE-12,SCN-REMOTE,远程协作,advanced,ROLE-DATA,student,远程协作案例12,跨时区成员对需求理解不一致。参与者需要在时间紧张且多方目标冲突的条件下作出回应。,你会如何处理“跨时区成员对需求理解不一致”？请先说明需要确认的信息，再给出行动步骤。,复述目标|澄清截止时间|明确负责人|记录决策|约定下一次同步,"{""task_completion"":25,""clarification"":20,""evidence_and_privacy"":20,""collaboration"":20,""reflection"":15}",只催进度|公开指责成员|不记录结论|承诺无法完成的时间,medium,1.1.0,synthetic,true,SRC-SYNTH|SRC-PIPL,2026-09-05T00:00:00+08:00,0.93,synthetic,not_applicable,,reference_only,false,dev
SCN-REMOTE-13,SCN-REMOTE,远程协作,beginner,ROLE-AI-ALG,newcomer,远程协作案例13,线上会议没有明确责任人。参与者需要在信息较完整的条件下作出回应。,你会如何处理“线上会议没有明确责任人”？请先说明需要确认的信息，再给出行动步骤。,复述目标|澄清截止时间|明确负责人|记录决策|约定下一次同步,"{""task_completion"":25,""clarification"":20,""evidence_and_privacy"":20,""collaboration"":20,""reflection"":15}",只催进度|公开指责成员|不记录结论|承诺无法完成的时间,medium,1.1.0,synthetic,true,SRC-SYNTH|SRC-PIPL,2026-09-05T00:00:00+08:00,0.93,synthetic,not_applicable,,reference_only,false,dev
SCN-REMOTE-14,SCN-REMOTE,远程协作,intermediate,ROLE-AI-APP,student,远程协作案例14,代码审查意见存在分歧。参与者需要在存在两处信息缺口的条件下作出回应。,你会如何处理“代码审查意见存在分歧”？请先说明需要确认的信息，再给出行动步骤。,复述目标|澄清截止时间|明确负责人|记录决策|约定下一次同步,"{""task_completion"":25,""clarification"":20,""evidence_and_privacy"":20,""collaboration"":20,""reflection"":15}",只催进度|公开指责成员|不记录结论|承诺无法完成的时间,medium,1.1.0,synthetic,true,SRC-SYNTH|SRC-PIPL,2026-09-05T00:00:00+08:00,0.93,synthetic,not_applicable,,reference_only,false,dev
SCN-REMOTE-15,SCN-REMOTE,远程协作,advanced,ROLE-DATA,newcomer,远程协作案例15,异步沟通遗漏关键背景。参与者需要在时间紧张且多方目标冲突的条件下作出回应。,你会如何处理“异步沟通遗漏关键背景”？请先说明需要确认的信息，再给出行动步骤。,复述目标|澄清截止时间|明确负责人|记录决策|约定下一次同步,"{""task_completion"":25,""clarification"":20,""evidence_and_privacy"":20,""collaboration"":20,""reflection"":15}",只催进度|公开指责成员|不记录结论|承诺无法完成的时间,medium,1.1.0,synthetic,true,SRC-SYNTH|SRC-PIPL,2026-09-05T00:00:00+08:00,0.93,synthetic,not_applicable,,reference_only,false,dev
