resource_id,resource_type,title,provider,url,difficulty,estimated_hours,cost_type,language,prerequisite_score,verified_individual_page,page_kind,metadata_scope,estimated_hours_is_simulated,summary,schema_version,origin,is_synthetic,source_ids,generated_at,confidence,claim_level,verification_status,last_verified_at,license_scope,is_market_fact,data_split
RES-0002,verified_course_metadata,人工智能概论,北京联合大学 / 中国大学MOOC,https://higher.smartedu.cn/course/68ac5cd9d5f9b8b6cf61fbd1,beginner,38,free_or_demo,zh-CN,20,true,course,标题、提供方、链接和页面类型,true,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。,1.2.0,public_metadata,false,SRC-SMARTEDU,2026-09-13T00:00:00+08:00,0.97,verified_primary,verified,2026-09-05,metadata_only,false,dev
RES-0018,verified_course_metadata,国产大模型之腾讯混元大模型应用实战课,深圳市腾讯计算机系统有限公司,https://higher.smartedu.cn/course/lmc/67de729c2f4f1bef26a8089f,intermediate,14,free_or_demo,zh-CN,50,true,course_series,标题、提供方、链接和页面类型,true,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。,1.2.0,public_metadata,false,SRC-SMARTEDU,2026-09-13T00:00:00+08:00,0.97,verified_primary,verified,2026-09-05,metadata_only,false,dev
RES-0001,verified_course_metadata,人工智能导论,西安电子科技大学 / 中国大学MOOC,https://higher.smartedu.cn/course/66ca648c711dc30c3464e7e0,beginner,36,free_or_demo,zh-CN,20,true,course,标题、提供方、链接和页面类型,true,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。,1.2.0,public_metadata,false,SRC-SMARTEDU,2026-09-13T00:00:00+08:00,0.97,verified_primary,verified,2026-09-05,metadata_only,false,dev
RES-0003,verified_course_metadata,人工智能导论,浙江工业大学 / 中国大学MOOC,https://higher.smartedu.cn/h5/course/62354d0e9906eace048eba3e,beginner,38,free_or_demo,zh-CN,20,true,course,标题、提供方、链接和页面类型,true,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。,1.2.0,public_metadata,false,SRC-SMARTEDU,2026-09-13T00:00:00+08:00,0.97,verified_primary,verified,2026-09-05,metadata_only,false,dev
RES-0004,verified_course_metadata,人工智能基础,合肥工业大学 / 中国大学MOOC,https://higher.smartedu.cn/course/68c09681a9f4619f8f00bf58,beginner,20,free_or_demo,zh-CN,20,true,course,标题、提供方、链接和页面类型,true,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。,1.2.0,public_metadata,false,SRC-SMARTEDU,2026-09-13T00:00:00+08:00,0.97,verified_primary,verified,2026-09-05,metadata_only,false,dev
RES-0005,verified_course_metadata,人工智能,西北师范大学 / 学堂在线,https://higher.smartedu.cn/course/62354ce39906eace048df080,intermediate,50,free_or_demo,zh-CN,50,true,course,标题、提供方、链接和页面类型,true,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。,1.2.0,public_metadata,false,SRC-SMARTEDU,2026-09-13T00:00:00+08:00,0.97,verified_primary,verified,2026-09-05,metadata_only,false,dev
RES-0006,verified_course_metadata,浙江大学DeepSeek系列专题线上公开课,浙江大学,https://higher.smartedu.cn/course/lmc/67dff4b358a122fb4a976832,intermediate,12,free_or_demo,zh-CN,50,true,course_series,标题、提供方、链接和页面类型,true,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。,1.2.0,public_metadata,false,SRC-SMARTEDU,2026-09-13T00:00:00+08:00,0.97,verified_primary,verified,2026-09-05,metadata_only,false,dev
RES-0007,verified_course_metadata,“人工智能先导计划”通识系列讲座,西安交通大学,https://higher.smartedu.cn/course/lmc/67dfeca5324633a85ec294a7,beginner,8,free_or_demo,zh-CN,20,true,course_series,标题、提供方、链接和页面类型,true,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。,1.2.0,public_metadata,false,SRC-SMARTEDU,2026-09-13T00:00:00+08:00,0.97,verified_primary,verified,2026-09-05,metadata_only,false,dev
RES-0008,verified_course_metadata,DeepSeek与未来：解码智能时代的无限可能系列公开课,哈尔滨工业大学,https://higher.smartedu.cn/course/lmc/67e2680a58a122fb4a977ff2,intermediate,14,free_or_demo,zh-CN,50,true,course_series,标题、提供方、链接和页面类型,true,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。,1.2.0,public_metadata,false,SRC-SMARTEDU,2026-09-13T00:00:00+08:00,0.97,verified_primary,verified,2026-09-05,metadata_only,false,dev
RES-0009,verified_course_metadata,北京理工大学人工智能公开课,北京理工大学,https://higher.smartedu.cn/course/lmc/6800543858a122fb4a97e084,intermediate,24,free_or_demo,zh-CN,50,true,course_series,标题、提供方、链接和页面类型,true,仅保存官方页面公开元数据；课程内容、状态和适用对象以原页面为准。,1.2.0,public_metadata,false,SRC-SMARTEDU,2026-09-13T00:00:00+08:00,0.97,verified_primary,verified,2026-09-05,metadata_only,false,dev
