case_id,query,期望文档,期望等级,期望卡片ID,检索_Top1文档,检索_Top1匹配度,检索_Top5期望项最高排名,检索_Top5同源条数,检索_命中@1,检索_命中@5,答案_引用等级是否正确,答案_引用ID是否命中期望,答案_Top1可回答性,备注
RETR-001,如何判断Python编程等级1，需要哪些证据？,SKILL-001_Python编程.md,L1,KC-SKILL-001-L1,SKILL-001_Python编程,0.85,1,1,是,是,是,否,3,"首提等级1(提及1,1,1,1,1,2,3,4,5,1,2,1,2)；Top1=0.837；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[Python编程等级1判断标准证据]n=5top=0.837 ; 学习资源库[Python编程课程项目测评]n=5top=0.855"
RETR-002,如何判断测试与调试等级3，需要哪些证据？,SKILL-008_测试与调试.md,L3,KC-SKILL-008-L3,SKILL-008_测试与调试,0.83,1,1,是,是,是,否,3,"首提等级3(提及3,3,3,1,1,3,3,1,1,2,3,4,5,3,4,3,4)；Top1=0.8128；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[测试与调试等级3判断标准证据]n=5top=0.813 ; 学习资源库[测试与调试课程项目测评]n=5top=0.860"
RETR-003,如何判断数据建模等级5，需要哪些证据？,SKILL-015_数据建模.md,L5,KC-SKILL-015-L5,SKILL-015_数据建模,0.81,1,1,是,是,是,否,3,"首提等级5(提及5,5,5,1,3,5,5,4,5,4,5,1,5,5,5,5,5,5,1,2,3,4,5,5,5,5)；Top1=0.7953；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[数据建模等级5判断标准证据]n=5top=0.795 ; 学习资源库[数据建模课程项目测评]n=5top=0.859 ; 技能知识库[数据建模 SKILL-015 设计指标口径事实表维度关系]n=5top=0.902"
RETR-004,如何判断自然语言处理等级2，需要哪些证据？,SKILL-023_自然语言处理.md,L2,KC-SKILL-023-L2,SKILL-023_自然语言处理,0.88,1,1,是,是,是,否,3,"首提等级2(提及2,2,2,2,1,2,1,2,1,2,3,2,1,2,3,4,5,2,2,2)；Top1=0.8584；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[自然语言处理等级2判断标准证据]n=5top=0.858 ; 学习资源库[自然语言处理课程项目测评]n=5top=0.883"
RETR-005,如何判断MCP与工具调用等级4，需要哪些证据？,SKILL-030_MCP与工具调用.md,L4,KC-SKILL-030-L4,SKILL-030_MCP与工具调用,0.87,1,1,是,是,是,否,3,"首提等级4(提及4,4,4,1,1,3,4,3,4,3,4,3,4,1,4,4,4,1,2,3,4,5,4,4,4)；Top1=0.8597；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[MCP与工具调用等级4判断标准证据]n=5top=0.860 ; 学习资源库[MCP与工具调用课程项目测评]n=5top=0.894 ; 学习资源库[MCP与工具调用高级课程]n=5top=0.864"
RETR-006,如何判断云端部署等级1，需要哪些证据？,SKILL-038_云端部署.md,L1,KC-SKILL-038-L1,SKILL-038_云端部署,0.85,1,1,是,是,是,否,3,"首提等级1(提及1,1,1,1,1,1,1)；Top1=0.8552；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[云端部署等级1 判断标准 证据]n=5top=0.855"
RETR-007,如何判断指标设计等级3，需要哪些证据？,SKILL-045_指标设计.md,L3,KC-SKILL-045-L3,SKILL-045_指标设计,0.77,1,1,是,是,是,否,3,"首提等级3(提及3,3,3,1,3,3,1,1,3,3,3)；Top1=0.8613；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[指标设计等级3]n=5top=0.861"
RETR-008,如何判断团队协作等级5，需要哪些证据？,SKILL-052_团队协作.md,L5,KC-SKILL-052-L5,SKILL-052_团队协作,0.84,1,1,是,是,是,否,3,"首提等级5(提及5,5,5,5,1,1,3,5,5,5,5,5,3,3,5)；Top1=0.9196；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[团队协作等级5]n=5top=0.920 ; 技能知识库[团队协作]n=5top=0.907"
RETR-009,如何判断职业探索等级2，需要哪些证据？,SKILL-060_职业探索.md,L2,KC-SKILL-060-L2,SKILL-060_职业探索,0.84,1,1,是,是,是,否,3,"首提等级2(提及2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,1,2,3,2,2,2,1,1,2)；Top1=0.8892；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[职业探索等级2]n=5top=0.889"
RETR-034,如何判断计算机网络等级2，需要哪些证据？,SKILL-005_计算机网络.md,L2,KC-SKILL-005-L2,SKILL-005_计算机网络,0.90,1,1,是,是,是,否,3,"首提等级2(提及2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,1,2,3,2,2,2,1,1,2)；Top1=0.9356；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[计算机网络技能等级]n=5top=0.936"
RETR-035,如何判断探索性数据分析等级4，需要哪些证据？,SKILL-012_探索性数据分析.md,L4,KC-SKILL-012-L4,SKILL-012_探索性数据分析,0.90,1,1,是,是,是,否,3,"首提等级4(提及4,4,4,4,3,4,4,3,4,4,3,4,4,3,3,4,5,4,4,3,4,3,4,3,4,4,3,5)；Top1=0.9256；Top1=期望技能整篇(等级标准+证据要求)；证据层KC=命中；答案引用技能ID=是；技能知识库[探索性数据分析等级4]n=5top=0.926"
