enum_name,value,description
origin,synthetic,纯模拟业务记录
origin,public_metadata,已核验公开元数据
origin,derived,公开概念与模拟规则派生
claim_level,verified_primary,逐页核验的官方来源元数据
claim_level,primary_derived,参考官方分类后由团队改写或扩展
claim_level,synthetic,由固定规则生成的模拟记录
verification_status,verified,外部页面已核验
verification_status,derived,派生记录，需回溯source_ids
verification_status,not_applicable,纯模拟记录不适用外部页面核验
data_split,golden,人工精修演示案例
data_split,dev,开发和联调数据
data_split,test,独立评测数据
stage,student,18岁以上高校生
stage,newcomer,工作6至36个月职场新人
difficulty,beginner,入门
difficulty,intermediate,中级
difficulty,advanced,高级
work_mode,onsite,现场
work_mode,hybrid,混合
work_mode,remote,远程
risk_level,low,常规
risk_level,medium,需要关注
risk_level,high,需要明确保护或人工处理
risk_level,critical,必须阻止越权或伤害
resource_type,verified_course_metadata,已核验官方课程或课程专题页元数据
resource_type,public_catalog_topic_card,基于公开目录派生的主题卡，不是官方课程
resource_type,synthetic_project,模拟实践项目
resource_type,synthetic_assessment,模拟测评或训练
resource_type,synthetic_guide,模拟或参考派生指南
knowledge_card_category,skill_level,技能等级与证据卡
knowledge_card_category,learning_resource,学习资源检索卡
knowledge_card_category,role_skill,有直接岗位技能关系并参与匹配评分
knowledge_card_category,role_adjacent_skill,合成相邻能力扩展，不参与匹配评分
knowledge_card_category,trend_interpretation,模拟趋势解释卡
knowledge_card_category,ethics_privacy,伦理与隐私边界卡
