event_id,user_id,event_type,event_time,skill_id,resource_id,job_id,score_delta,status,sentiment,user_state,risk_level,detail,schema_version,origin,is_synthetic,source_ids,generated_at,confidence,claim_level,verification_status,last_verified_at,license_scope,is_market_fact,data_split
EVT-G001-01,USER-G001,onboarding,2024-10-10T16:00:00Z,,,,0,completed,neutral,active,low,完成基础信息和学习约束录入,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-02,USER-G001,skill_assessment,2024-10-27T16:00:00Z,SKILL-058,,,3,completed,positive,progressing,low,完成能力测评并生成可解释证据,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-03,USER-G001,course_started,2024-11-13T16:00:00Z,SKILL-002,RES-0122,,0,completed,neutral,active,low,开始一项与目标能力相关的课程,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-04,USER-G001,task_completed,2024-11-30T16:00:00Z,SKILL-017,RES-0137,,2,completed,positive,progressing,low,完成本周学习任务,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-05,USER-G001,skill_practice,2024-12-17T16:00:00Z,SKILL-020,RES-0133,,2,completed,positive,progressing,low,完成技能练习并记录反思,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-06,USER-G001,course_completed,2025-01-03T16:00:00Z,SKILL-023,RES-0002,,6,completed,positive,progressing,low,完成课程并提交学习总结,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-07,USER-G001,project_started,2025-01-20T16:00:00Z,SKILL-033,RES-0026,,0,completed,neutral,active,low,启动实践项目并确认里程碑,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-08,USER-G001,job_viewed,2025-02-06T16:00:00Z,,,JOB-AI-ALG-0008,0,completed,neutral,active,low,查看目标岗位及能力要求,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-09,USER-G001,feedback_submitted,2025-02-23T16:00:00Z,SKILL-002,,,0,completed,neutral,active,low,提交计划难度和推荐相关性反馈,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-10,USER-G001,task_completed,2025-03-12T16:00:00Z,SKILL-017,RES-0130,,2,completed,positive,progressing,low,完成本周学习任务,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
EVT-G001-11,USER-G001,project_completed,2025-03-29T16:00:00Z,SKILL-020,RES-0133,,8,completed,positive,progressing,low,完成项目、说明文档和复盘,1.1.0,synthetic,true,SRC-SYNTH,2026-09-05T00:00:00+08:00,0.9,synthetic,not_applicable,,team_generated,false,golden
